listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2023-12-12,LS머트리얼즈,1528141,417200,LS머트리얼즈,exact,False,13.62,30.89,22.255,,,general,20231130001608,[발행조건확정]증권신고서(지분증권),20231130,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231130001608,ok_pri1
2023-12-06,케이엔에스,1402995,432470,케이엔에스,exact,False,22.34,32.93,27.635,,,general,20231124000347,[발행조건확정]증권신고서(지분증권),20231124,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231124000347,ok_pri1
2023-11-28,에이에스텍,1538528,453860,에이에스텍,exact,False,21.96,34.44,28.2,,,general,20231115000157,[발행조건확정]증권신고서(지분증권),20231115,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231115000157,ok_pri1
2023-11-24,한선엔지니어링,958451,452280,한선엔지니어링,exact,False,22.68,32.99,27.835,,,general,20231110000103,[발행조건확정]증권신고서(지분증권),20231110,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231110000103,ok_pri1
2023-11-21,에코아이,1218299,448280,에코아이,exact,False,15.6,30.7,23.15,,,general,20231109000215,[발행조건확정]증권신고서(지분증권),20231109,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231109000215,ok_pri1
2023-11-20,스톰테크,1226270,352090,스톰테크,exact,False,26.6,38.2,32.400000000000006,,,general,20231108000512,[발행조건확정]증권신고서(지분증권),20231108,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231108000512,ok_pri1
2023-11-15,캡스톤파트너스,1497124,452300,캡스톤파트너스,exact,False,14.87,24.32,19.595,,,general,20231103000318,[발행조건확정]증권신고서(지분증권),20231103,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231103000318,ok_pri1
2023-11-13,에스와이스틸텍,1135084,365330,에스와이스틸텍,exact,False,20.0,36.0,28.0,,,general,20231031000076,[발행조건확정]증권신고서(지분증권),20231031,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231031000076,ok_pri1
2023-11-13,에이직랜드,1540453,445090,에이직랜드,exact,False,30.96,38.38,34.67,,,general,20231031000244,[발행조건확정]증권신고서(지분증권),20231031,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231031000244,ok_pri1
2023-11-09,메가터치,923516,446540,메가터치,exact,False,19.83,29.85,24.84,,,general,20231030000175,[발행조건확정]증권신고서(지분증권),20231030,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231030000175,ok_pri1
2023-11-02,유진테크놀로지,1085026,240600,유진테크놀로지,exact,False,30.55,38.69,34.62,,,general,20231019000208,[발행조건확정]증권신고서(지분증권),20231019,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231019000208,ok_pri1
2023-10-26,워트,866451,396470,워트,exact,False,12.43,21.81,17.119999999999997,,,general,20231013000580,[발행조건확정]증권신고서(지분증권),20231013,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231013000580,ok_pri1
2023-10-20,에스엘에스바이오,1112700,246250,에스엘에스바이오,exact,False,7.55,19.35,13.45,,,general,20230926000450,[발행조건확정]증권신고서(지분증권),20230926,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230926000450,ok_pri1
2023-10-19,신성에스티,761183,416180,신성에스티,exact,False,29.3,37.78,33.54,,,general,20231006000228,[발행조건확정]증권신고서(지분증권),20231006,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231006000228,ok_pri1
2023-10-18,퓨릿,1027828,445180,퓨릿,exact,False,28.0,40.5,34.25,,,general,20231004000216,[발행조건확정]증권신고서(지분증권),20231004,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231004000216,ok_pri1
2023-10-06,레뷰코퍼레이션,1468061,443250,레뷰코퍼레이션,exact,False,22.43,32.42,27.425,,,general,20230918000162,[발행조건확정]증권신고서(지분증권),20230918,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230918000162,ok_pri1
2023-10-04,한싹,1602638,430690,한싹,exact,False,20.01,35.28,27.645000000000003,,,general,20230918000117,[발행조건확정]증권신고서(지분증권),20230918,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230918000117,ok_pri1
2023-09-25,인스웨이브시스템즈,1222113,450520,인스웨이브,manual,False,38.96,49.14,44.05,사명 변경: 인스웨이브시스템즈 → 인스웨이브,,general,20230913000346,[발행조건확정]증권신고서(지분증권),20230913,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230913000346,ok_pri1
2023-08-17,빅텐츠,550082,210120,캔버스엔,manual,False,21.56,28.38,24.97,코넥스→코스닥 이전상장. 정식명: 빅토리콘텐츠,,konex_transfer,20230804000193,[첨부정정]증권신고서(지분증권),20230804,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230804000193,ok_pri2
2023-08-10,코츠테크놀로지,959210,448710,코츠테크놀로지,exact,False,23.69,33.65,28.67,,,general,20230731000178,[발행조건확정]증권신고서(지분증권),20230731,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230731000178,ok_pri1
2023-08-04,엠아이큐브솔루션,1497142,373170,엠아이큐브솔루션,exact,False,24.48,35.81,30.145000000000003,,,general,20230725000127,[발행조건확정]증권신고서(지분증권),20230725,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230725000127,ok_pri1
2023-07-27,에이엘티,493325,172670,에이엘티,exact,False,24.48,38.48,31.48,,,general,20230714000210,[발행조건확정]증권신고서(지분증권),20230714,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230714000210,ok_pri1
2023-07-24,뷰티스킨,1147487,406820,뷰티스킨,exact,False,6.69,18.36,12.525,,,general,20230712000259,[발행조건확정]증권신고서(지분증권),20230712,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230712000259,ok_pri1
2023-07-14,필에너지,1488320,378340,필에너지,exact,False,20.73,30.5,25.615,,,general,20230704000144,[첨부정정]증권신고서(지분증권),20230704,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230704000144,ok_pri2
