listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates,track_type,rcept_no,report_nm,rcept_dt,dart_url,filing_search_result
2024-06-24,한중엔시에스,00474588,107640,한중엔시에스,exact,False,32.6,42.64,37.62,,,general,20240607000180,[발행조건확정]증권신고서(지분증권),20240607,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240607000180,ok_pri1
2024-06-19,씨어스테크놀로지,,,,not_found,True,7.6,30.7,19.15,,,general,,,,,no_corp_code
2024-06-28,에이치브이엠,01011368,295310,에이치브이엠,exact,False,17.0,36.0,26.5,,,general,20240618000224,[발행조건확정]증권신고서(지분증권),20240618,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240618000224,ok_pri1
2024-07-02,이노스페이스,01700587,462350,이노스페이스,exact,False,25.0,37.0,31.0,,,general,20240619000220,[발행조건확정]증권신고서(지분증권),20240619,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240619000220,ok_pri1
2024-07-03,하스,01663569,450330,하스,exact,False,11.72,33.79,22.755,,,general,20240621000067,[발행조건확정]증권신고서(지분증권),20240621,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240621000067,ok_pri1
2024-07-15,엑셀세라퓨틱스,01492217,373110,엑셀세라퓨틱스,exact,False,24.4,39.13,31.765,,,general,20240702000251,[발행조건확정]증권신고서(지분증권),20240702,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240702000251,ok_pri1
2024-07-31,피앤에스미캐닉스,,,,not_found,True,24.41,37.75,31.08,,,general,,,,,no_corp_code
2024-08-06,아이빔테크놀로지,01678312,460470,아이빔테크놀로지,exact,False,23.9,34.6,29.25,,,general,20240723000178,[발행조건확정]증권신고서(지분증권),20240723,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240723000178,ok_pri1
2024-08-12,뱅크웨어글로벌,01138595,199480,뱅크웨어글로벌,exact,False,27.93,39.31,33.62,,,general,20240731000209,[발행조건확정]증권신고서(지분증권),20240731,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240731000209,ok_pri1
2024-08-20,케이쓰리아이,01689266,431190,케이쓰리아이,exact,False,22.85,37.78,30.315,,,general,20240807000196,[첨부정정]증권신고서(지분증권),20240807,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240807000196,ok_pri2
