company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source
성우,2024-10-31,319272,20241018000189,[발행조건확정]증권신고서(지분증권),general,14.03,25.89,19.96,25000.0,29000.0,27000.0,32000.0,0.1852,,,,PER,33732.0,15076980.0,3000000.0,96000000000.0,14.03,25.89,19.96,코스닥,0.0,0.0,3.0,partial,522577.0,5.1346,0.0,OK,,,,
에이치엔에스하이텍,2024-10-25,311216,20241011000542,[발행조건확정]증권신고서(지분증권),general,19.37,31.78,25.575000000000003,22000.0,26000.0,24000.0,22000.0,-0.0833,13082.172,130.8217,,PER,32247.0,8061064.0,500000.0,,19.37,31.78,25.575,코스닥,0.0,0.0,4.0,ok,390590.0,31.7766,0.0,OK,,,,
한켐,2024-10-22,1016309,20241002000203,[발행조건확정]증권신고서(지분증권),general,18.89,30.08,24.485,12500.0,14500.0,13500.0,18000.0,0.3333,,,,PER,17878.0,8067134.0,,,18.9,30.08,24.49,코스닥,0.0,0.0,3.0,partial,506667.0,-0.6824,0.005,OK,,,,
와이제이링크,2024-10-18,1023211,20241007000466,[발행조건확정]증권신고서(지분증권),general,23.05,32.47,27.76,8600.0,9800.0,9200.0,12000.0,0.3043,7054.0,70.54,,PER,12714.0,,3560000.0,42720000000.0,22.92,32.36,27.64,코스닥,0.0,0.0,4.0,ok,931540.0,5.6159,0.12,OK,,,,
인스피언,2024-10-18,1284876,20241002000231,[발행조건확정]증권신고서(지분증권),general,16.37,33.1,24.735,8000.0,10000.0,9000.0,12000.0,0.3333,3947.766,39.4777,,PER,,10137772.0,2250000.0,27000000000.0,16.38,33.1,24.74,코스닥,0.0,0.0,4.0,ok,568369.0,,0.005,OK,,,,
제닉스,2024-09-30,1293485,20240913000388,[발행조건확정]증권신고서(지분증권),general,23.44,36.95,30.195,28000.0,34000.0,31000.0,40000.0,0.2903,6891.0,68.91,,PER,44411.0,4442640.0,,,23.44,36.95,30.195,코스닥,0.0,0.0,4.0,ok,462626.0,9.9322,0.0,OK,,,,
아이스크림미디어,2024-08-30,657224,20240820000053,[발행조건확정]증권신고서(지분증권),general,9.41,27.89,18.65,32000.0,40200.0,36100.0,32000.0,-0.1136,28279.0,282.79,,PER,44374.0,13678433.0,2460000.0,,9.41,27.89,18.65,코스닥,0.0,0.0,4.0,ok,302356.0,27.8857,0.0,OK,,,,
M83,2024-08-22,1704680,20240809000437,[발행조건확정]증권신고서(지분증권),general,33.63,43.84,38.735,11000.0,13000.0,12000.0,16000.0,0.3333,,,,PER,19588.0,8270400.0,,,33.63,43.84,38.735,코스닥,0.0,0.0,3.0,partial,521727.0,18.3173,0.0,OK,,,,
티디에스팜,2024-08-21,1232192,20240808000209,[발행조건확정]증권신고서(지분증권),general,11.86,21.75,16.805,9500.0,10700.0,10100.0,13000.0,0.2871,4392.286,43.9229,,PER,12140.0,5530000.0,1000000.0,13000000000.0,11.86,21.75,16.805,코스닥,0.0,0.0,4.0,ok,513642.0,-7.084,0.0,OK,,,,
유라클,2024-08-16,407294,20240805000135,[발행조건확정]증권신고서(지분증권),general,22.74,33.78,28.26,18000.0,21000.0,19500.0,21000.0,0.0769,4475.0,44.75,26.56,PER,27181.0,4372368.0,751000.0,15771000000.0,22.74,33.78,28.26,코스닥,0.0,0.0,5.0,ok,455422.0,22.7401,0.0,OK,,,,
