company_name,listing_date,corp_code,stock_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,net_income_mn,net_income_bn,peer_per,valuation_model,per_stock_value,total_shares,offering_shares,offering_amount,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_diff,data_quality_flag,net_income_type,institutional_ratio,retail_ratio,discount_rate_xml_source,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source,source_dataset
더핑크퐁컴퍼니,2025-11-18,01138364,403850,20251105000307,[발행조건확정]증권신고서(지분증권),general,15.3,28.67,21.985,32000.0,38000.0,35000.0,38000.0,0.0857,25616.0,256.16,,EV/EBITDA,44864.0,,2000000.0,76000000000.0,15.3,28.67,21.985,코스닥,0.0,0.0,4.0,ok,530840.0,15.2996,0.0,OK,EBITDA,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
데이원컴퍼니,2025-01-24,01455492,373160,20250114000473,[발행조건확정]증권신고서(지분증권),general,14.14,29.25,21.695,22000.0,26700.0,24350.0,13000.0,-0.4661,,-16.1117,,EV/EBITDA,31097.0,13950639.0,1361000.0,17693000000.0,14.14,29.25,21.695,코스닥,0.0,0.0,3.0,partial,675634.0,58.1953,0.0,OK,,,,,1276.801,-2.8676,-16.1117,610.0396,236.6556,2024.0,11011.0,157.78,-0.22,dart_api,peer_group_expanded_features_enriched.csv
도우인시스,2025-07-23,01380578,484120,20250711000117,[발행조건확정]증권신고서(지분증권),general,16.2,24.05,20.125,29000.0,32000.0,30500.0,32000.0,0.0492,,,15.01,EV/EBITDA,38185.0,10964654.0,1400000.0,44800000000.0,16.2,24.05,20.125,코스닥,0.0,0.0,4.0,ok,509587.0,16.1975,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
동국생명과학,2025-02-17,1233465,303810,20250131000480,[발행조건확정]증권신고서(지분증권),general,11.2,21.75,16.475,12600.0,14300.0,13450.0,9000.0,-0.3309,,,14.82,EV/EBITDA,16103.0,,2000000.0,18000000000.0,11.26,21.5,16.38,코스닥,0.0,0.0,4.0,ok,624274.0,44.1098,0.095,OK,,,,,,,,,,,,,,,ipo_features_raw.csv
동방메디컬,2025-02-13,1073261,240550,20250124000579,[발행조건확정]증권신고서(지분증권),general,38.78,47.53,43.155,9000.0,10500.0,9750.0,10500.0,0.0769,22301.155,223.0115,17.58,EV/EBITDA,17152.0,21226940.0,3000000.0,31500000000.0,40.63,49.11,44.87,코스닥,0.0,0.0,5.0,ok,488569.0,38.7826,1.715,MINOR_DIFF,EBITDA,69.0,25.0,,,,,,,,,,,,ipo_features_raw.csv
듀켐바이오,2024-12-20,867034,176750,20241209000393,[발행조건확정]증권신고서(지분증권),general,30.99,39.8,35.395,12300.0,14100.0,13200.0,8000.0,-0.3939,,,,PER,20431.0,,1430000.0,11440000000.0,30.99,39.8,35.395,코스닥,0.0,0.0,3.0,partial,519705.0,,0.0,NO_XML_DR,,,,,,,,,,,,,,,ipo_features_raw.csv
디앤디파마텍,2024-05-02,01376715,347850,20240419000507,[발행조건확정]증권신고서(지분증권),general,40.31,49.49,44.9,22000.0,26000.0,24000.0,33000.0,0.375,33297.0,332.97,,PER,43555.0,11029867.0,1100000.0,36300000000.0,40.31,49.49,44.9,코스닥,0.0,0.0,4.0,ok,775557.0,24.2337,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
라메디텍,2024-06-17,01504211,462510,20240603000259,[발행조건확정]증권신고서(지분증권),general,10.54,26.75,18.645,10400.0,12700.0,11550.0,16000.0,0.3853,,,,PER,14197.0,,1298000.0,20768000000.0,10.54,26.75,18.645,코스닥,0.0,0.0,3.0,partial,491910.0,-12.6999,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
레이저쎌,2022-06-24,01573381,412350,20220613000057,[발행조건확정]증권신고서(지분증권),general,15.6,27.7,21.65,12000.0,14000.0,13000.0,16000.0,0.2308,,,,PER,16592.0,,1600000.0,25600000000.0,,,,코스닥,0.0,0.0,3.0,partial,392603.0,3.568,,NO_XML_DR,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
로킷헬스케어,2025-05-12,01335143,376900,20250422000103,[발행조건확정]증권신고서(지분증권),general,29.0,39.5,34.25,11000.0,13000.0,12000.0,11000.0,-0.0833,11784.0,117.84,25.12,PER,18249.0,16218639.0,46800.0,17160000000.0,29.0,39.5,34.25,코스닥,0.0,0.0,5.0,ok,833985.0,39.7227,0.0,OK,,,,,,,,,,,,,,,peer_group_expanded_features_enriched.csv
