listing_date,company_name,discount_rate_high_pct,discount_rate_low_pct,discount_rate_mid_pct,rate_col1,rate_col2,source_pdf,source_page,extraction_method
2024-04-03,아이엠비디엑스,41.49,24.77,33.13,41.49,24.77,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-05-02,디앤디파마텍,49.49,40.31,44.9,49.49,40.31,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-05-03,민테크,33.95,13.62,23.785,33.95,13.62,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-05-17,아이씨티케이,31.0,15.0,23.0,31.0,15.0,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-06-17,라메디텍,26.75,10.54,18.645,26.75,10.54,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-06-24,한중엔시에스,42.64,32.6,37.62,42.64,32.6,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-06-19,씨어스테크놀로지,30.7,7.6,19.15,30.7,7.6,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-06-28,에이치브이엠,36.0,17.0,26.5,36.0,17.0,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-07-02,이노스페이스,37.0,25.0,31.0,37.0,25.0,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-07-03,하스,33.79,11.72,22.755,33.79,11.72,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-07-15,엑셀세라퓨틱스,39.13,24.4,31.765,39.13,24.4,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-07-31,피앤에스미캐닉스,37.75,24.41,31.08,37.75,24.41,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-08-06,아이빔테크놀로지,34.6,23.9,29.25,34.6,23.9,나라스페이스테크놀로지_peer_group_extraction.pdf,27,pypdf_text
2024-08-12,뱅크웨어글로벌,39.31,27.93,33.62,39.31,27.93,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-08-20,케이쓰리아이,37.78,22.85,30.315,37.78,22.85,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-08-20,넥스트바이오메디컬,42.56,30.6,36.58,42.56,30.6,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-08-23,이엔셀,31.96,23.45,27.705,31.96,23.45,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-09-23,아이언디바이스,35.91,25.45,30.68,35.91,25.45,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-10-16,셀비온,51.1,41.32,46.21,51.1,41.32,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-10-21,루미르,36.7,21.36,29.03,36.7,21.36,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-10-24,씨메스,29.76,15.71,22.735,29.76,15.71,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-10-25,웨이비스,27.81,17.97,22.89,27.81,17.97,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-10-28,클로봇,35.51,25.22,30.365,35.51,25.22,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-11-05,에이치이엠파마,35.02,24.72,29.87,35.02,24.72,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-11-07,토모큐브,30.46,14.51,22.485,30.46,14.51,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-11-08,에어레인,40.15,30.8,35.475,40.15,30.8,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-11-14,쓰리빌리언,38.49,11.15,24.82,38.49,11.15,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-12-18,온코크로스,30.35,15.18,22.765,30.35,15.18,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-12-19,온코닉테라퓨틱스,32.83,24.44,28.635,32.83,24.44,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-12-24,쓰리에이로직스,52.9,45.4,49.15,52.9,45.4,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2024-12-26,파인메딕스,39.53,32.81,36.17,39.53,32.81,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
2025-01-24,와이즈넛,34.53,29.08,31.805,34.53,29.08,나라스페이스테크놀로지_peer_group_extraction.pdf,28,pypdf_text
