company_name,rcept_no,report_nm,track_type,extraction_status,filled_key_fields,xml_size,price_band_low,price_band_high,final_offering_price,net_income_bn,peer_per,per_stock_value,offering_shares,listing_market
스튜디오미르,20230119000286,[발행조건확정]증권신고서(지분증권),general,partial,3.0,466942.0,15300.0,19500.0,19500.0,,,24603.0,1000000.0,코스닥
스튜디오삼익,20240124000150,[발행조건확정]증권신고서(지분증권),general,partial,3.0,400382.0,14500.0,16500.0,18000.0,,,20526.0,,코스닥
시지트로닉스,20230721000279,[발행조건확정]증권신고서(지분증권),general,partial,3.0,397255.0,18000.0,20000.0,25000.0,,,33651.0,900000.0,코스닥
시큐레터,20230811001329,[발행조건확정]증권신고서(지분증권),general,partial,3.0,986493.0,9200.0,10600.0,12000.0,,,14313.0,1333885.0,코스닥
시큐센,,,general,no_rcept_no,,,,,,,,,,
신성에스티,20231006000228,[발행조건확정]증권신고서(지분증권),general,partial,3.0,410497.0,22000.0,25000.0,26000.0,,,35360.0,38462.0,코스닥
심플랫폼,20250310000115,[발행조건확정]증권신고서(지분증권),general,ok,5.0,587582.0,13000.0,15000.0,15000.0,41.16,30.99,19192.0,920000.0,코스닥
싸이닉솔루션,20250624000255,[발행조건확정]증권신고서(지분증권),general,ok,4.0,431658.0,4000.0,4700.0,4700.0,40.03,,5150.0,3500000.0,코스닥
쎄크,20250416000412,[발행조건확정]증권신고서(지분증권),general,ok,5.0,438466.0,13000.0,15000.0,15000.0,80.43,21.52,19612.0,,코스닥
쏘닉스,20231025000085,[발행조건확정]증권신고서(지분증권),general,partial,3.0,440855.0,5000.0,7000.0,7500.0,,,9277.0,3600000.0,코스닥
쓰리빌리언,20241101000139,[발행조건확정]증권신고서(지분증권),general,ok,4.0,520768.0,4500.0,6500.0,4500.0,87.12,,7315.0,3200000.0,코스닥
쓰리에이로직스,20241212000606,[발행조건확정]증권신고서(지분증권),general,partial,3.0,488615.0,15700.0,18200.0,11000.0,,,,1857400.0,코스닥
씨메스,20241014000121,[기재정정]증권신고서(지분증권),general,ok,5.0,3914502.0,20000.0,24000.0,30000.0,75.56,45.12,28472.0,2600000.0,코스닥
씨어스테크놀로지,,,general,no_rcept_no,,,,,,,,,,
씨엠티엑스,20251107000432,[발행조건확정]증권신고서(지분증권),general,ok,4.0,703219.0,55000.0,60500.0,60500.0,456.55,,91066.0,1000000.0,코스닥
씨유박스,,,general,no_rcept_no,,,,,,,,,,
아로마티카,20251117000056,[발행조건확정]증권신고서(지분증권),general,ok,4.0,914102.0,6000.0,8000.0,8000.0,49.25,,9994.0,3000000.0,코스닥
아스테라시스,20250113000245,[발행조건확정]증권신고서(지분증권),general,ok,4.0,395677.0,4000.0,4600.0,4600.0,,31.89,5330.0,3650000.0,코스닥
아우토크립트,20250702000145,[기재정정]증권신고서(지분증권),general,ok,5.0,4902418.0,18700.0,22000.0,22000.0,176.08,23.58,28058.0,1400000.0,코스닥
아이빔테크놀로지,20240723000178,[발행조건확정]증권신고서(지분증권),general,ok,4.0,689634.0,7300.0,8500.0,10000.0,,29.7,11170.0,2234000.0,코스닥
아이스크림미디어,20240820000053,[발행조건확정]증권신고서(지분증권),general,ok,4.0,302356.0,32000.0,40200.0,32000.0,282.79,,44374.0,2460000.0,코스닥
아이씨에이치,20220718000093,[발행조건확정]증권신고서(지분증권),general,partial,3.0,387283.0,34000.0,44000.0,34000.0,,,48729.0,1180000.0,코스닥
아이씨티케이,20240503000443,[발행조건확정]증권신고서(지분증권),general,partial,3.0,712437.0,13000.0,16000.0,20000.0,,,18828.0,1970000.0,코스닥
아이언디바이스,20240906000321,[발행조건확정]증권신고서(지분증권),general,partial,3.0,434285.0,4900.0,5700.0,7000.0,,,7646.0,3000000.0,코스닥
아이에스티이,20250131000259,[발행조건확정]증권신고서(지분증권),general,partial,3.0,695375.0,9700.0,11400.0,11400.0,,,18535.0,1300000.0,코스닥
아이엠비디엑스,20240322000928,[발행조건확정]증권신고서(지분증권),general,partial,3.0,424337.0,7700.0,9900.0,13000.0,,,13160.0,2500000.0,코스닥
아이엠티,20230914000342,[발행조건확정]증권신고서(지분증권),general,partial,3.0,368254.0,10500.0,12000.0,14000.0,,,,47400.0,코스닥
아이지넷,20250117000291,[발행조건확정]증권신고서(지분증권),general,ok,4.0,607751.0,6000.0,7000.0,7000.0,67.03,,9584.0,60000.0,코스닥
아이티켐,20250725000509,[발행조건확정]증권신고서(지분증권),general,ok,4.0,613727.0,14500.0,16100.0,16100.0,,24.9,20996.0,2000000.0,코스닥
아크릴,20251203000194,[발행조건확정]증권신고서(지분증권),general,ok,5.0,1250798.0,17500.0,19500.0,19500.0,75.32,28.07,26685.0,2160000.0,코스닥
알멕,20230616000534,[발행조건확정]증권신고서(지분증권),general,ok,5.0,582849.0,40000.0,45000.0,50000.0,351.56,13.7,54729.0,1000000.0,코스닥
알지노믹스,20251205000229,[발행조건확정]증권신고서(지분증권),general,ok,4.0,1240655.0,17000.0,22500.0,22500.0,,29.58,30609.0,2060000.0,코스닥
애드바이오텍,20220111000212,[발행조건확정]증권신고서(지분증권),general,partial,3.0,337882.0,7000.0,8000.0,7000.0,,,12478.0,1360000.0,코스닥
애드바이오텍,20220111000212,[발행조건확정]증권신고서(지분증권),general,partial,3.0,337882.0,7000.0,8000.0,7000.0,,,12478.0,1360000.0,코스닥
에스바이오메딕스,20230420000516,[발행조건확정]증권신고서(지분증권),general,partial,3.0,465759.0,16000.0,18000.0,18000.0,,,37480.0,,코스닥
에스비비테크,20221004000084,[발행조건확정]증권신고서(지분증권),general,partial,3.0,555689.0,10100.0,12400.0,12400.0,,,18470.0,54000.0,코스닥
에스엔시스,20250805000193,[발행조건확정]증권신고서(지분증권),general,ok,4.0,779235.0,27000.0,30000.0,30000.0,184.62,,42200.0,1900000.0,코스닥
에스엘에스바이오,20230926000450,[발행조건확정]증권신고서(지분증권),general,partial,3.0,351407.0,8200.0,9400.0,7000.0,,,10167.0,770000.0,코스닥
에스오에스랩,20240612000332,[발행조건확정]증권신고서(지분증권),general,partial,3.0,583517.0,7500.0,9000.0,11500.0,,,13747.0,2000000.0,코스닥
에스와이스틸텍,20231031000076,[발행조건확정]증권신고서(지분증권),general,partial,3.0,360534.0,1200.0,1500.0,1800.0,,,1874.0,7000000.0,코스닥
에스켐,20241106000010,[발행조건확정]증권신고서(지분증권),general,fail,0.0,22108.0,,,,,,,1950000.0,
에스투더블유,20250909000313,[발행조건확정]증권신고서(지분증권),general,ok,4.0,444263.0,11400.0,13200.0,13200.0,,19.36,17399.0,1580000.0,코스닥
에어레인,20241023000152,[발행조건확정]증권신고서(지분증권),general,partial,3.0,452311.0,16000.0,18500.0,23000.0,,,27878.0,,코스닥
에이럭스,20241021000237,[발행조건확정]증권신고서(지분증권),general,ok,5.0,695495.0,11500.0,13500.0,16000.0,41.6957,51.56,15591.0,1500000.0,코스닥
에이에스텍,20231115000157,[발행조건확정]증권신고서(지분증권),general,partial,3.0,508140.0,21000.0,25000.0,28000.0,,,32033.0,35715.0,코스닥
에이엘티,20230714000210,[발행조건확정]증권신고서(지분증권),general,partial,3.0,276827.0,16700.0,20500.0,25000.0,,,27146.0,900000.0,코스닥
