company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,final_offering_price,valuation_model,offering_amount,listing_market,is_tech_special,is_growth_special,filled_key_fields,extraction_status,xml_size,discount_rate_diff,data_quality_flag,price_band_low,price_band_high,band_midpoint,price_vs_mid,per_stock_value,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_implied,total_shares,net_income_mn,net_income_bn,peer_per,offering_shares,discount_rate_xml_source,institutional_ratio,retail_ratio,net_income_type
와이바이오로직스,2023-12-05,01226234,20231121000049,[발행조건확정]증권신고서(지분증권),general,35.81,47.48,41.645,9000.0,PER,13500000000.0,코스닥,0.0,0.0,3.0,partial,709998.0,0.005,OK,9000.0,11000.0,10000.0,-0.1,17136.0,35.8,47.5,41.65,47.479,,,,,1500000.0,,,,
와이제이링크,2024-10-18,01023211,20241007000466,[발행조건확정]증권신고서(지분증권),general,23.05,32.47,27.76,12000.0,PER,42720000000.0,코스닥,0.0,0.0,5.0,ok,931540.0,0.12,OK,8600.0,9800.0,9200.0,0.3043,12714.0,22.92,32.36,27.64,5.6159,14317240.0,7054.0,70.54,32.23,3560000.0,,,,
와이즈넛,2025-01-24,00351427,20250114000177,[기재정정]증권신고서(지분증권),general,29.08,34.53,31.805,17000.0,PER,,,0.0,0.0,5.0,ok,4046706.0,0.0,OK,24000.0,26000.0,25000.0,-0.32,36659.0,29.08,34.53,31.805,53.6267,13170452.0,13559.0,135.59,35.61,900000.0,,,,
우진엔텍,2024-01-24,01030503,20240115000087,[발행조건확정]증권신고서(지분증권),general,14.87,25.3,20.085,5300.0,PER,,코스닥,0.0,0.0,3.0,partial,386832.0,0.015,OK,4300.0,4900.0,4600.0,0.1522,5756.0,14.9,25.3,20.1,7.9222,,,,,2060000.0,,,,
워트,2023-10-26,00866451,20231013000580,[발행조건확정]증권신고서(지분증권),general,12.43,21.81,17.12,6500.0,PER,26000000000.0,코스닥,0.0,0.0,3.0,partial,366046.0,,NO_XML_DR,5000.0,5600.0,5300.0,0.2264,6395.0,,,,-1.6419,,,,,,,,,
원일티엔아이,2025-05-09,00488244,20250423000260,[발행조건확정]증권신고서(지분증권),general,41.12,49.54,45.33,13500.0,PER,16200000000.0,코스닥,0.0,0.0,5.0,ok,549270.0,0.15,OK,11500.0,13500.0,12500.0,0.08,22929.0,41.12,49.84,45.48,41.1226,8381030.0,7871.0,78.71,24.42,1200000.0,,,,
웨이비스,2024-10-25,01270749,20241016000084,[발행조건확정]증권신고서(지분증권),general,17.97,27.81,22.89,15000.0,PER,22350000000.0,코스닥,0.0,0.0,3.0,partial,412137.0,0.36,OK,11000.0,12500.0,11750.0,0.2766,15238.0,18.35,28.15,23.25,1.5619,,,,,1490000.0,,,,
위너스,2025-02-24,,,,general,17.19,26.93,22.06,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,
위츠,2024-11-20,01445440,20241105000117,[발행조건확정]증권신고서(지분증권),general,14.77,29.42,22.095,6400.0,PER,19200000000.0,코스닥,0.0,0.0,5.0,ok,509602.0,0.01,OK,5300.0,6400.0,5850.0,0.094,7509.0,14.76,29.41,22.085,14.7689,12652000.0,5107.0,51.07,18.6,3000000.0,,,,
유라클,2024-08-16,00407294,20240805000135,[발행조건확정]증권신고서(지분증권),general,22.74,33.78,28.26,21000.0,PER,15771000000.0,코스닥,0.0,0.0,5.0,ok,455422.0,0.0,OK,18000.0,21000.0,19500.0,0.0769,27181.0,22.74,33.78,28.26,22.7401,4372368.0,4475.0,44.75,26.56,751000.0,,,,
유진테크놀로지,2023-11-02,01085026,20231019000208,[발행조건확정]증권신고서(지분증권),general,30.55,38.69,34.62,17000.0,PER,17841194000.0,코스닥,0.0,0.0,3.0,partial,460854.0,0.0,OK,12800.0,14500.0,13650.0,0.2454,20879.0,30.55,38.69,34.62,18.5785,,,,,1049482.0,,,,
유투바이오,2023-11-02,,,,general,13.14,26.5,19.82,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,
이노스페이스,2024-07-02,01700587,20240619000220,[발행조건확정]증권신고서(지분증권),general,25.0,37.0,31.0,43300.0,PER,57589000000.0,코스닥,0.0,0.0,4.0,ok,751951.0,0.0,OK,36400.0,43300.0,39850.0,0.0866,57754.0,25.0,37.0,31.0,25.0268,9520072.0,12999.0,129.99,,1330000.0,,,,
이노시뮬레이션,2023-07-06,00965318,20230626000073,[발행조건확정]증권신고서(지분증권),general,29.9,39.2,34.55,15000.0,PER,13500000000.0,코스닥,0.0,0.0,3.0,partial,342535.0,0.005,OK,13000.0,15000.0,14000.0,0.0714,21390.0,29.87,39.22,34.545,29.8738,,,,,900000.0,,,,
이노진,2023-02-20,01419135,20230208000172,[발행조건확정]증권신고서(지분증권),general,6.6,22.17,14.385,3000.0,PER,7800000000.0,코스닥,0.0,0.0,5.0,ok,381421.0,0.0,OK,2500.0,3000.0,2750.0,0.0909,3212.0,6.6,22.17,14.385,6.6002,,1460.0,14.6,26.78,2600000.0,,,,
이닉스,2024-02-01,00338170,20240119000136,[발행조건확정]증권신고서(지분증권),general,21.93,34.71,28.32,14000.0,PER,42000000000.0,코스닥,0.0,0.0,3.0,partial,612198.0,0.0,OK,9200.0,11000.0,10100.0,0.3861,14090.0,21.93,34.71,28.32,0.6388,,,,,3000000.0,,,,
이뮨온시아,2025-05-19,01203659,20250430001250,[발행조건확정]증권신고서(지분증권),general,32.09,43.3,37.695,3600.0,PER,32905735200.0,코스닥,0.0,0.0,4.0,ok,538141.0,0.05,OK,3000.0,3600.0,3300.0,0.0909,5301.0,32.09,43.4,37.745,32.0883,76571829.0,21163.0,211.63,,9140482.0,,,,
이에이트,2024-02-23,,,,general,24.28,40.65,32.465,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,
이엔셀,2024-08-23,01544468,20240809000231,[발행조건확정]증권신고서(지분증권),general,23.45,31.96,27.705,15300.0,PER,23972040000.0,코스닥,0.0,0.0,4.0,ok,691023.0,0.005,OK,13600.0,15300.0,14450.0,0.0588,19988.0,23.46,31.96,27.71,23.4541,11181016.0,7335.0,73.35,,1566800.0,,,,
이지스,2025-12-11,01211889,20251201000405,[발행조건확정]증권신고서(지분증권),general,17.36,28.38,22.87,15000.0,PER,22500000000.0,코스닥,0.0,0.0,4.0,ok,914687.0,0.0,OK,13000.0,15000.0,14000.0,0.0714,18150.0,17.36,28.38,22.87,17.3554,10525075.0,7113.0,71.13,,1500000.0,,,,
이지트로닉스,2022-02-04,01140837,20220118000223,[발행조건확정]증권신고서(지분증권),general,34.1,43.1,38.6,22000.0,PER,43560000000.0,코스닥,0.0,0.0,3.0,partial,399902.0,0.015,OK,19000.0,22000.0,20500.0,0.0732,33374.0,34.08,43.09,38.585,34.0804,,,,,1980000.0,,,,
인벤티지랩,2022-11-22,01516456,20221110000280,[발행조건확정]증권신고서(지분증권),general,8.6,33.2,20.9,12000.0,PER,12480000000.0,코스닥,0.0,0.0,3.0,partial,595142.0,0.02,OK,19000.0,26000.0,22500.0,-0.4667,28453.0,8.62,33.22,20.92,57.8252,,,,,,,,,
인스웨이브시스템즈,2023-09-25,,,,general,38.96,49.14,44.05,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,
인스피언,2024-10-18,01284876,20241002000231,[발행조건확정]증권신고서(지분증권),general,16.37,33.1,24.735,12000.0,PER,27000000000.0,코스닥,0.0,0.0,4.0,ok,568369.0,0.005,OK,8000.0,10000.0,9000.0,0.3333,11958.0,16.38,33.1,24.74,-0.3512,10137772.0,3947.766,39.4777,,2250000.0,,,,
인투셀,2025-05-23,01374443,20250512000686,[발행조건확정]증권신고서(지분증권),general,25.8,45.4,35.6,17000.0,PER,25500000000.0,코스닥,0.0,0.0,3.0,partial,559430.0,9.8358,MISMATCH_CHECK,12500.0,17000.0,14750.0,0.1525,22900.0,,,25.7642,25.7642,,,,,1500000.0,implied,,,
자람테크놀로지,2023-03-07,01365038,20230220002105,[발행조건확정]증권신고서(지분증권),general,26.2,40.9,33.55,22000.0,PER,,코스닥,0.0,0.0,3.0,partial,336227.0,0.025,OK,16000.0,20000.0,18000.0,0.2222,27089.0,26.14,40.91,33.525,18.7862,,,,,,,,,
제닉스,2024-09-30,01293485,20240913000388,[발행조건확정]증권신고서(지분증권),general,23.44,36.95,30.195,40000.0,PER,,코스닥,0.0,0.0,4.0,ok,462626.0,0.0,OK,28000.0,34000.0,31000.0,0.2903,44411.0,23.44,36.95,30.195,9.9322,4442640.0,6891.0,68.91,,,,,,
제이오,2023-02-16,00411808,20230206000061,[발행조건확정]증권신고서(지분증권),general,38.6,52.7,45.65,13000.0,EV/EBITDA,52000000000.0,코스닥,0.0,0.0,3.0,partial,516755.0,0.01,OK,10000.0,13000.0,11500.0,0.1304,21162.0,38.57,52.75,45.66,38.5691,,,,,4000000.0,,,,
제이피아이헬스케어,2025-08-21,00185301,20250808000280,[발행조건확정]증권신고서(지분증권),general,22.86,36.36,29.61,20000.0,PER,31600000000.0,코스닥,0.0,0.0,5.0,ok,456786.0,0.0,OK,16500.0,20000.0,18250.0,0.0959,25928.0,22.86,36.36,29.61,22.8633,5105400.0,6195.0,61.95,21.37,47400.0,,,,
제일엠앤에스,2024-04-30,00528791,20240416000398,[발행조건확정]증권신고서(지분증권),general,27.35,39.46,33.405,22000.0,PER,52800000000.0,코스닥,0.0,0.0,4.0,ok,652053.0,0.0,OK,15000.0,18000.0,16500.0,0.3333,24776.0,27.35,39.46,33.405,11.2044,20621877.0,19764.0,197.64,,2400000.0,,,,
지씨지놈,2025-06-11,01432598,20250527000209,[발행조건확정]증권신고서(지분증권),general,25.74,36.35,31.045,10500.0,PER,42000000000.0,코스닥,0.0,0.0,5.0,ok,741093.0,0.0,OK,9000.0,10500.0,9750.0,0.0769,14140.0,25.74,36.35,31.045,25.7426,,13066.0,130.66,26.04,4000000.0,,,,
지아이이노베이션,2023-03-30,01351080,20230320000170,[발행조건확정]증권신고서(지분증권),general,41.2,55.2,48.2,13000.0,PER,26000000000.0,코스닥,0.0,0.0,3.0,partial,432507.0,0.015,OK,16000.0,21000.0,18500.0,-0.2973,35705.0,41.18,55.19,48.185,63.5905,,,,,2000000.0,,,,
지에프씨생명과학,2025-06-30,01221752,20250618000255,[발행조건확정]증권신고서(지분증권),general,29.06,42.97,36.015,15300.0,PER,11995200000.0,코스닥,0.0,0.0,3.0,partial,684316.0,6.9501,MISMATCH_CHECK,12300.0,15300.0,13800.0,0.1087,21569.0,,,29.0649,29.0649,5438311.0,,,,784000.0,implied,,,
지투지바이오,2025-08-14,01577952,20250804000127,[발행조건확정]증권신고서(지분증권),general,42.91,52.76,47.835,58000.0,PER,52200000000.0,코스닥,0.0,0.0,3.0,partial,1167808.0,4.9216,MISMATCH_CHECK,48000.0,58000.0,53000.0,0.0943,101600.0,,,42.9134,42.9134,,,,,900000.0,implied,,,
진영,2023-06-01,00816933,20230519000263,[발행조건확정]증권신고서(지분증권),general,31.41,41.21,36.31,5000.0,PER,21250000000.0,코스닥,0.0,0.0,3.0,partial,442940.0,0.01,OK,3600.0,4200.0,3900.0,0.2821,6123.0,31.4,41.2,36.3,18.3407,,,,,4250000.0,,,,
캡스톤파트너스,2023-11-15,01497124,20231103000318,[발행조건확정]증권신고서(지분증권),general,14.87,24.32,19.595,4000.0,PER,,코스닥,0.0,0.0,3.0,partial,347089.0,0.0,OK,3200.0,3600.0,3400.0,0.1765,4229.0,14.87,24.32,19.595,5.415,,,,,1596000.0,,,,
컨텍,2023-11-09,01685251,20231030000344,[발행조건확정]증권신고서(지분증권),general,24.16,31.58,27.87,22500.0,PER,46350000000.0,코스닥,0.0,0.0,4.0,ok,656347.0,0.12,OK,20300.0,22500.0,21400.0,0.0514,29668.0,24.0,31.5,27.75,24.1607,15613041.0,21936.635,219.3664,,2060000.0,,,,
케이쓰리아이,2024-08-20,01689266,20240807000196,[첨부정정]증권신고서(지분증권),general,22.85,37.78,30.315,,,,,,,,download_failed,,,,,,,,,,,,,,,,,,,,,
케이엔알시스템,2024-03-07,00672603,20240223002182,[발행조건확정]증권신고서(지분증권),general,31.37,43.85,37.61,13500.0,PER,28404000000.0,코스닥,0.0,0.0,3.0,partial,358256.0,0.0,OK,9000.0,11000.0,10000.0,0.35,16029.0,31.37,43.85,37.61,15.7777,,,,,1052000.0,,,,
케이엔에스,2023-12-06,01402995,20231124000347,[발행조건확정]증권신고서(지분증권),general,22.34,32.93,27.635,23000.0,PER,,코스닥,0.0,0.0,4.0,ok,341332.0,0.0,OK,19000.0,22000.0,20500.0,0.122,28327.0,22.34,32.93,27.635,18.8054,4442278.0,5729.0,57.29,,,,,,
케이웨더,2024-02-22,00426828,20240208000055,[발행조건확정]증권신고서(지분증권),general,14.08,28.89,21.485,7000.0,PER,7000000000.0,코스닥,0.0,0.0,3.0,partial,362264.0,0.0,OK,4800.0,5800.0,5300.0,0.3208,6750.0,14.08,28.89,21.485,-3.7037,,,,,1000000.0,,,,
