company_name,listing_date,corp_code,rcept_no,report_nm,track_type,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,price_band_low,price_band_high,band_midpoint,final_offering_price,price_vs_mid,valuation_model,offering_shares,offering_amount,listing_market,is_tech_special,is_growth_special,per_stock_value,filled_key_fields,extraction_status,xml_size,discount_rate_implied,discount_rate_xml_low,discount_rate_xml_high,discount_rate_xml_mid,discount_rate_xml_source,discount_rate_diff,data_quality_flag,net_income_mn,net_income_bn,peer_per,total_shares,institutional_ratio,retail_ratio,net_income_type,dart_revenue_bn,dart_op_income_bn,dart_net_income_bn,dart_assets_bn,dart_equity_bn,dart_bsns_year,dart_reprt_code,dart_debt_ratio,dart_op_margin,net_income_source
레이저쎌,2022-06-24,01573381,20220613000057,[발행조건확정]증권신고서(지분증권),general,15.6,27.7,21.65,12000.0,14000.0,13000.0,16000.0,0.2308,PER,1600000.0,25600000000.0,코스닥,0.0,0.0,16592.0,3.0,partial,392603.0,3.568,,,,,,NO_XML_DR,,,,,,,,,,,,,,,,,
넥스트칩,2022-07-01,01515864,20220620000302,[발행조건확정]증권신고서(지분증권),general,32.5,42.4,37.45,9900.0,11600.0,10750.0,13000.0,0.2093,PER,78000.0,33800000000.0,코스닥,0.0,0.0,17181.0,3.0,partial,405420.0,24.335,32.5,42.4,37.45,,0.0,OK,,,,,,,,,,,,,,,,,
코난테크놀로지,2022-07-07,00601988,20220624000079,[발행조건확정]증권신고서(지분증권),general,25.7,37.6,31.65,21000.0,25000.0,23000.0,25000.0,0.087,PER,1200000.0,30000000000.0,코스닥,0.0,0.0,33648.0,3.0,partial,321611.0,25.7014,25.7,37.59,31.645,,0.005,OK,,,,,,,,,,,,,,,,,
영창케미칼,2022-07-14,,,,general,26.0,40.3,33.15,,,,,,,,,,,,,,no_rcept_no,,,,,,,,,,,,,,,,,,,,,,,,,
루닛,2022-07-21,01397620,20220711000248,[발행조건확정]증권신고서(지분증권),general,38.1,44.4,41.25,44000.0,49000.0,46500.0,30000.0,-0.3548,PER,1215800.0,36474000000.0,코스닥,0.0,0.0,79178.0,5.0,ok,836009.0,62.1107,38.11,44.43,41.27,,0.02,OK,58349.0,583.49,34.82,22055945.0,,,,,,,,,,,,,
에이프릴바이오,2022-07-28,01375822,20220718000098,[발행조건확정]증권신고서(지분증권),general,40.3,48.1,44.2,20000.0,23000.0,21500.0,16000.0,-0.2558,PER,1296000.0,20736000000.0,코스닥,0.0,0.0,37346.0,5.0,ok,542492.0,57.1574,38.41,46.45,42.43,,1.77,MINOR_DIFF,28058.0,280.58,29.58,11533445.0,,,,,,,,,,,,,
아이씨에이치,2022-07-29,01302853,20220718000093,[발행조건확정]증권신고서(지분증권),general,9.7,30.2,19.95,34000.0,44000.0,39000.0,34000.0,-0.1282,PER,1180000.0,40100000000.0,코스닥,0.0,0.0,48729.0,3.0,partial,387283.0,30.2264,,,30.2264,implied,10.2764,MISMATCH_CHECK,,,,,,,,,,,,,,,,,
에스비비테크,2022-10-17,00567897,20221004000084,[발행조건확정]증권신고서(지분증권),general,32.9,45.3,39.1,10100.0,12400.0,11250.0,12400.0,0.1022,PER,54000.0,,코스닥,0.0,0.0,18470.0,3.0,partial,555689.0,32.8641,32.86,45.31,39.085,,0.015,OK,,,,,,,,,,,,,,,,,
샤페론,2022-10-19,01387164,20221005000182,[발행조건확정]증권신고서(지분증권),general,35.3,48.0,41.65,8200.0,10200.0,9200.0,5000.0,-0.4565,PER,2747000.0,13735000000.0,코스닥,0.0,0.0,15758.0,3.0,partial,358224.0,68.2701,35.3,48.0,41.65,,0.0,OK,,,,,,,,,,,,,,,,,
핀텔,2022-10-20,01524507,20221007000272,[발행조건확정]증권신고서(지분증권),general,21.0,33.4,27.2,7500.0,8900.0,8200.0,8900.0,0.0854,PER,60000.0,17800000000.0,코스닥,0.0,0.0,11263.0,5.0,ok,725727.0,20.9802,20.9,32.8,26.85,,0.35,OK,10950.0,109.5,20.5,22055945.0,,,,,,,,,,,,,
