listing_date,company_name,corp_code,stock_code,matched_name,match_quality,manual_check_needed,discount_rate_low_pct,discount_rate_high_pct,discount_rate_mid_pct,notes,candidates
2024-08-16,유라클,00407294,088340,유라클,exact,False,22.74,33.78,28.26,,
2024-06-27,하이젠알앤엠,00650771,160190,하이젠알앤엠,exact,False,19.13,33.83,26.48,,
2024-06-14,그리드위즈,01299203,453450,그리드위즈,exact,False,43.11,51.65,47.38,,
2024-05-24,노브랜드,00305941,145170,노브랜드,exact,False,14.45,32.34,23.395,,
2024-05-07,코칩,00446901,126730,코칩,exact,False,9.08,28.57,18.825,,
2024-03-13,오상헬스케어,00260657,036220,오상헬스케어,exact,False,39.89,47.91,43.9,,
2024-02-06,스튜디오삼익,01540815,415380,스튜디오삼익,exact,False,19.62,29.36,24.49,,
2024-02-01,이닉스,00338170,452400,이닉스,exact,False,21.93,34.71,28.32,,
2024-01-29,포스뱅크,00862312,105760,포스뱅크,exact,False,17.23,28.26,22.745,,
2024-01-26,현대힘스,00667373,460930,현대힘스,exact,False,24.2,39.84,32.02,,
2024-01-25,HB인베스트먼트,00309460,440290,HB인베스트먼트,exact,False,26.62,37.1,31.86,,
2024-01-24,우진엔텍,01030503,457550,우진엔텍,exact,False,14.87,25.3,20.085,,
2023-12-12,LS머트리얼즈,01528141,417200,LS머트리얼즈,exact,False,13.62,30.89,22.255,,
2023-12-06,케이엔에스,01402995,432470,케이엔에스,exact,False,22.34,32.93,27.635,,
2023-11-28,에이에스텍,01538528,453860,에이에스텍,exact,False,21.96,34.44,28.2,,
2023-11-24,한선엔지니어링,00958451,452280,한선엔지니어링,exact,False,22.68,32.99,27.835,,
2023-11-21,에코아이,01218299,448280,에코아이,exact,False,15.6,30.7,23.15,,
2023-11-20,스톰테크,01226270,352090,스톰테크,exact,False,26.6,38.2,32.4,,
2023-11-15,캡스톤파트너스,01497124,452300,캡스톤파트너스,exact,False,14.87,24.32,19.595,,
